0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
34201,22,6,4,1547066047817,1547066047817,0,1,60,1547066047817,1547066047817,0,1,60,0,0,0,0,0,6,3,1,2
57771,53,17,4,1547127796929,1547127796929,0,2,158,1547127796929,1547127796929,0,1,71,1547127796929,1547127796929,0,1,87,1,1,2,0
58289,22,6,4,1547066047009,1547066047009,0,1,60,1547066047009,1547066047009,0,1,60,0,0,0,0,0,6,3,1,2
22044,81,6,4,1532525358000,1532525358000,0,1,60,1532525358000,1532525358000,0,1,60,0,0,0,0,0,31,10,0,0
12530,23,6,4,1532525604006,1532525604006,0,1,60,1532525604006,1532525604006,0,1,60,0,0,0,0,0,30,8,0,0
36923,81,6,4,1532525571002,1532525571002,0,1,60,1532525571002,1532525571002,0,1,60,0,0,0,0,0,31,10,0,0
35582,23,6,4,1551377802578,1551377809786,7208,8,592,1551377802578,1551377809786,7208,8,592,0,0,0,0,0,4,1,1,1
123,123,17,4,1538600160658,1538600160658,0,1,90,1538600160658,1538600160658,0,1,90,0,0,0,0,0,2,2,0,0
42732,81,6,4,1532525467001,1532525467001,0,1,60,1532525467001,1532525467001,0,1,60,0,0,0,0,0,31,10,0,0
3761,23,6,4,1532525410005,1532525410005,0,1,60,1532525410005,1532525410005,0,1,60,0,0,0,0,0,30,8,0,0
38370,37215,6,4,1545336851077,1545336851077,0,1,60,1545336851077,1545336851077,0,1,60,0,0,0,0,0,5,3,0,0
57657,81,6,4,1532525402002,1532525402002,0,1,60,1532525402002,1532525402002,0,1,60,0,0,0,0,0,31,10,0,0
22154,23,6,4,1532525417009,1532525417009,0,1,60,1532525417009,1532525417009,0,1,60,0,0,0,0,0,30,8,0,0
37264,50,6,4,1533109524996,1533109557375,32379,6,444,1533109524996,1533109557375,32379,6,444,0,0,0,0,0,2,2,0,0
19012,23,6,4,1532525497004,1532525497004,0,1,60,1532525497004,1532525497004,0,1,60,0,0,0,0,0,30,8,0,0
37530,81,6,4,1532525449001,1532525449001,0,1,60,1532525449001,1532525449001,0,1,60,0,0,0,0,0,31,10,0,0
2890,23,6,4,1532525586008,1532525586008,0,1,60,1532525586008,1532525586008,0,1,60,0,0,0,0,0,30,8,0,0
43763,60247,17,4,1525880392018,1525880392018,0,1,60,1525880392018,1525880392018,0,1,60,0,0,0,0,0,12,5,0,1
53962,23,6,4,1525888454016,1525888469045,15029,5,370,1525888454016,1525888469045,15029,5,370,0,0,0,0,0,11,3,0,1
52794,4975,6,4,1547131909689,1547131910751,1062,14,1252,1547131909689,1547131910751,1062,7,549,1547131909704,1547131910751,1047,7,703,3,0,2,0
53698,443,6,4,1540537341732,1540537341743,11,8,498,1540537341732,1540537341743,11,5,306,1540537341737,1540537341743,6,3,192,5,2,0,2
45177,23,6,4,1525880946018,1525880961047,15029,5,370,1525880946018,1525880961047,15029,5,370,0,0,0,0,0,11,3,0,1
58044,81,6,4,1532525539001,1532525539001,0,1,60,1532525539001,1532525539001,0,1,60,0,0,0,0,0,31,10,0,0
58554,22,6,4,1526765754333,1526765756468,2135,28,4438,1526765754333,1526765756468,2135,15,1587,1526765754523,1526765756467,1944,13,2851,4,3,0,0
32943,22,6,4,1547066047204,1547066047204,0,1,60,1547066047204,1547066047204,0,1,60,0,0,0,0,0,6,3,1,2
43763,60953,17,4,1525881681018,1525881681018,0,1,60,1525881681018,1525881681018,0,1,60,0,0,0,0,0,12,5,0,1
52927,81,6,4,1532525330660,1532525330660,0,1,60,1532525330660,1532525330660,0,1,60,0,0,0,0,0,31,10,0,0
48091,81,6,4,1532525358000,1532525358000,0,1,60,1532525358000,1532525358000,0,1,60,0,0,0,0,0,31,10,0,0
39131,22,6,4,1547066047305,1547066047305,0,1,60,1547066047305,1547066047305,0,1,60,0,0,0,0,0,6,3,1,2
29929,81,6,4,1532525369000,1532525369000,0,1,60,1532525369000,1532525369000,0,1,60,0,0,0,0,0,31,10,0,0
443,38721,6,4,1537523578166,1537523578924,758,8,2840,1537523578166,1537523578924,758,4,1586,1537523578203,1537523578810,607,4,1254,0,0,0,0
34583,22,6,4,1547066049224,1547066049224,0,1,60,1547066049224,1547066049224,0,1,60,0,0,0,0,0,6,3,1,2
5526,37215,6,4,1532101574330,1532101574330,0,1,60,1532101574330,1532101574330,0,1,60,0,0,0,0,0,7,3,0,0
49262,6667,6,4,1545405291536,1545405293682,2146,15,1332,1545405291536,1545405293682,2146,8,619,1545405292600,1545405293634,1034,7,713,1,0,0,0
58063,81,6,4,1532525508003,1532525508003,0,1,60,1532525508003,1532525508003,0,1,60,0,0,0,0,0,31,10,0,0
5526,37215,6,4,1532101566051,1532101566051,0,1,60,1532101566051,1532101566051,0,1,60,0,0,0,0,0,7,3,0,0
50204,53,17,4,1547132519173,1547132519173,0,2,158,1547132519173,1547132519173,0,1,71,1547132519173,1547132519173,0,1,87,1,1,2,0
44317,22,6,4,1526758252391,1526758259398,7007,4,296,1526758252391,1526758259398,7007,4,296,0,0,0,0,0,4,3,0,0
1853,81,6,4,1532525540004,1532525540004,0,1,60,1532525540004,1532525540004,0,1,60,0,0,0,0,0,31,10,0,0
22787,23,6,4,1532525347002,1532525347002,0,1,60,1532525347002,1532525347002,0,1,60,0,0,0,0,0,30,8,0,0
54210,23,6,4,1525885465001,1525885480041,15040,5,370,1525885465001,1525885480041,15040,5,370,0,0,0,0,0,11,3,0,1
46137,22,6,4,1547066049924,1547066049924,0,1,60,1547066049924,1547066049924,0,1,60,0,0,0,0,0,6,3,1,2
50893,23,6,4,1532525487005,1532525487005,0,1,60,1532525487005,1532525487005,0,1,60,0,0,0,0,0,30,8,0,0
50778,23,6,4,1525887419014,1525887434043,15029,5,370,1525887419014,1525887434043,15029,5,370,0,0,0,0,0,11,3,0,1
35829,22,6,4,1547066047712,1547066047712,0,1,60,1547066047712,1547066047712,0,1,60,0,0,0,0,0,6,3,1,2
47325,8080,6,4,1525882203021,1525882218050,15029,5,370,1525882203021,1525882218050,15029,5,370,0,0,0,0,0,4,7,0,1
37842,23,6,4,1525885591011,1525885606040,15029,5,370,1525885591011,1525885606040,15029,5,370,0,0,0,0,0,11,3,0,1
39419,53,17,4,1538597944658,1538597949744,5086,3,307,1538597944658,1538597949663,5005,2,162,1538597949744,1538597949744,0,1,145,0,0,0,0
50232,22,6,4,1547066047962,1547066047962,0,1,60,1547066047962,1547066047962,0,1,60,0,0,0,0,0,6,3,1,2
4096,53,17,4,1562262761744,1562262761875,131,4,452,1562262761744,1562262761744,0,2,162,1562262761875,1562262761875,0,2,290,1,0,0,0
55280,22,6,4,1547066050575,1547066050575,0,1,60,1547066050575,1547066050575,0,1,60,0,0,0,0,0,6,3,1,2
5526,37215,6,4,1532101550432,1532101550432,0,1,60,1532101550432,1532101550432,0,1,60,0,0,0,0,0,7,3,0,0
42025,23,6,4,1525884047004,1525884062043,15039,5,370,1525884047004,1525884062043,15039,5,370,0,0,0,0,0,11,3,0,1
39384,22,6,4,1547066047258,1547066047258,0,1,60,1547066047258,1547066047258,0,1,60,0,0,0,0,0,6,3,1,2
49012,6667,6,4,1545404466425,1545404474951,8526,18,1618,1545404466425,1545404474951,8526,11,893,1545404473638,1545404474905,1267,7,725,1,0,0,0
5526,37215,6,4,1532101346033,1532101346033,0,1,60,1532101346033,1532101346033,0,1,60,0,0,0,0,0,7,3,0,0
48248,81,6,4,1532525595004,1532525595004,0,1,60,1532525595004,1532525595004,0,1,60,0,0,0,0,0,31,10,0,0
48312,22,6,4,1547066049542,1547066049542,0,1,60,1547066049542,1547066049542,0,1,60,0,0,0,0,0,6,3,1,2
61640,23,6,4,1532525582007,1532525582007,0,1,60,1532525582007,1532525582007,0,1,60,0,0,0,0,0,30,8,0,0
13371,23,6,4,1532525396003,1532525396003,0,1,60,1532525396003,1532525396003,0,1,60,0,0,0,0,0,30,8,0,0
56367,22,6,4,1547066048150,1547066048150,0,1,60,1547066048150,1547066048150,0,1,60,0,0,0,0,0,6,3,1,2
59817,22,6,4,1547066046990,1547066046990,0,1,60,1547066046990,1547066046990,0,1,60,0,0,0,0,0,6,3,1,2
1753,23,6,4,1532525600009,1532525600009,0,1,60,1532525600009,1532525600009,0,1,60,0,0,0,0,0,30,8,0,0
26104,81,6,4,1532525533005,1532525533005,0,1,60,1532525533005,1532525533005,0,1,60,0,0,0,0,0,31,10,0,0
6596,81,6,4,1532525431002,1532525431002,0,1,60,1532525431002,1532525431002,0,1,60,0,0,0,0,0,31,10,0,0
62072,81,6,4,1532525582003,1532525582003,0,1,60,1532525582003,1532525582003,0,1,60,0,0,0,0,0,31,10,0,0
32913,22,6,4,1547066049585,1547066049585,0,1,60,1547066049585,1547066049585,0,1,60,0,0,0,0,0,6,3,1,2
55981,22,6,4,1547066050523,1547066050523,0,1,60,1547066050523,1547066050523,0,1,60,0,0,0,0,0,6,3,1,2
5526,37215,6,4,1532101386432,1532101386432,0,1,60,1532101386432,1532101386432,0,1,60,0,0,0,0,0,7,3,0,0
63087,81,6,4,1532525396001,1532525396001,0,1,60,1532525396001,1532525396001,0,1,60,0,0,0,0,0,31,10,0,0
53681,22,6,4,1547066048161,1547066048161,0,1,60,1547066048161,1547066048161,0,1,60,0,0,0,0,0,6,3,1,2
61003,81,6,4,1532525409003,1532525409003,0,1,60,1532525409003,1532525409003,0,1,60,0,0,0,0,0,31,10,0,0
22568,52869,6,4,1547144791053,1547144791053,0,1,60,1547144791053,1547144791053,0,1,60,0,0,0,0,0,6,3,2,2
60809,22,6,4,1547066048517,1547066048517,0,1,60,1547066048517,1547066048517,0,1,60,0,0,0,0,0,6,3,1,2
39971,81,6,4,1532525478004,1532525478004,0,1,60,1532525478004,1532525478004,0,1,60,0,0,0,0,0,31,10,0,0
49365,23,6,4,1532525366001,1532525366001,0,1,60,1532525366001,1532525366001,0,1,60,0,0,0,0,0,30,8,0,0
62833,23,6,4,1532525513008,1532525513008,0,1,60,1532525513008,1532525513008,0,1,60,0,0,0,0,0,30,8,0,0
42433,8080,6,4,1525887089013,1525887104042,15029,5,370,1525887089013,1525887104042,15029,5,370,0,0,0,0,0,4,7,0,1
42635,81,6,4,1532525459003,1532525459003,0,1,60,1532525459003,1532525459003,0,1,60,0,0,0,0,0,31,10,0,0
39829,53,17,4,1536927506167,1536927506168,1,2,176,1536927506167,1536927506167,0,1,80,1536927506168,1536927506168,0,1,96,1,6,3,4
53240,81,6,4,1532525367000,1532525367000,0,1,60,1532525367000,1532525367000,0,1,60,0,0,0,0,0,31,10,0,0
37572,2323,6,4,1525882663023,1525882678052,15029,5,370,1525882663023,1525882678052,15029,5,370,0,0,0,0,0,12,5,0,1
5526,37215,6,4,1532101450729,1532101450729,0,1,60,1532101450729,1532101450729,0,1,60,0,0,0,0,0,7,3,0,0
11714,23,6,4,1532525538007,1532525538007,0,1,60,1532525538007,1532525538007,0,1,60,0,0,0,0,0,30,8,0,0
20977,23,6,4,1532525449003,1532525449003,0,1,60,1532525449003,1532525449003,0,1,60,0,0,0,0,0,30,8,0,0
52787,53,17,4,1536926479595,1536926479623,28,2,322,1536926479595,1536926479595,0,1,78,1536926479623,1536926479623,0,1,244,4,6,3,4
53559,22,6,4,1547066047974,1547066047974,0,1,60,1547066047974,1547066047974,0,1,60,0,0,0,0,0,6,3,1,2
53320,6667,6,4,1545418801894,1545418809058,7164,4,296,1545418801894,1545418809058,7164,4,296,0,0,0,0,0,3,3,0,0
30558,81,6,4,1532525432003,1532525432003,0,1,60,1532525432003,1532525432003,0,1,60,0,0,0,0,0,31,10,0,0
50433,81,6,4,1532525436006,1532525436006,0,1,60,1532525436006,1532525436006,0,1,60,0,0,0,0,0,31,10,0,0
5526,37215,6,4,1532101545267,1532101545267,0,1,60,1532101545267,1532101545267,0,1,60,0,0,0,0,0,7,3,0,0
33074,53,17,4,1547129720240,1547129720240,0,2,158,1547129720240,1547129720240,0,1,71,1547129720240,1547129720240,0,1,87,1,1,2,0
4096,53,17,4,1562531183836,1562531183838,2,4,452,1562531183836,1562531183836,0,2,162,1562531183838,1562531183838,0,2,290,1,0,0,0
47324,23,6,4,1532525522008,1532525522008,0,1,60,1532525522008,1532525522008,0,1,60,0,0,0,0,0,30,8,0,0
41635,22,6,4,1526765250290,1526765257293,7003,4,296,1526765250290,1526765257293,7003,4,296,0,0,0,0,0,4,3,0,0
59559,22,6,4,1526758178279,1526758185287,7008,4,296,1526758178279,1526758185287,7008,4,296,0,0,0,0,0,4,3,0,0
0,0,1,4,1525883978027,1525883978027,0,1,70,1525883978027,1525883978027,0,1,70,0,0,0,0,0,5,2,0,1
38483,23,6,4,1525888251016,1525888266044,15028,5,370,1525888251016,1525888266044,15028,5,370,0,0,0,0,0,11,3,0,1
443,38721,6,4,1537531420983,1537531420983,0,1,54,1537531420983,1537531420983,0,1,54,0,0,0,0,0,11,6,3,2
20225,23,6,4,1532525621005,1532525621005,0,1,60,1532525621005,1532525621005,0,1,60,0,0,0,0,0,30,8,0,0
57135,22,6,4,1526760901318,1526760908323,7005,4,296,1526760901318,1526760908323,7005,4,296,0,0,0,0,0,4,3,0,0
123,123,17,4,1538483616549,1538483616554,5,2,180,1538483616549,1538483616549,0,1,90,1538483616554,1538483616554,0,1,90,2,2,0,0
26622,81,6,4,1532525557001,1532525557001,0,1,60,1532525557001,1532525557001,0,1,60,0,0,0,0,0,31,10,0,0
43763,59460,17,4,1525883119016,1525883119016,0,1,60,1525883119016,1525883119016,0,1,60,0,0,0,0,0,12,5,0,1
15334,23,6,4,1532525550007,1532525550007,0,1,60,1532525550007,1532525550007,0,1,60,0,0,0,0,0,30,8,0,0
50935,123,17,4,1532512499900,1532512596400,96500,3,270,1532512499900,1532512596400,96500,3,270,0,0,0,0,0,19,9,0,0
36656,50,6,4,1533097356012,1533097388416,32404,6,444,1533097356012,1533097388416,32404,6,444,0,0,0,0,0,2,2,0,0
37116,22,6,4,1547066047026,1547066047026,0,1,60,1547066047026,1547066047026,0,1,60,0,0,0,0,0,6,3,1,2
29107,81,6,4,1532525505002,1532525505002,0,1,60,1532525505002,1532525505002,0,1,60,0,0,0,0,0,31,10,0,0
43746,8080,6,4,1545336825924,1545336825924,0,1,60,1545336825924,1545336825924,0,1,60,0,0,0,0,0,1,4,0,0
24104,23,6,4,1547144767268,1547144767268,0,1,60,1547144767268,1547144767268,0,1,60,0,0,0,0,0,5,1,2,2
5526,37215,6,4,1532101525493,1532101525493,0,1,60,1532101525493,1532101525493,0,1,60,0,0,0,0,0,7,3,0,0
48652,22,6,4,1547066048662,1547066048662,0,1,60,1547066048662,1547066048662,0,1,60,0,0,0,0,0,6,3,1,2
21142,23,6,4,1532525341001,1532525341001,0,1,60,1532525341001,1532525341001,0,1,60,0,0,0,0,0,30,8,0,0
37932,50,6,4,1533122894891,1533122926976,32085,6,444,1533122894891,1533122926976,32085,6,444,0,0,0,0,0,2,2,0,0
39251,81,6,4,1532525624003,1532525624003,0,1,60,1532525624003,1532525624003,0,1,60,0,0,0,0,0,31,10,0,0
34949,22,6,4,1526758581024,1526758584964,3940,30,4386,1526758581024,1526758584964,3940,15,1587,1526758581223,1526758584964,3741,15,2799,4,3,0,0
43763,30995,17,4,1525887769003,1525887769003,0,1,60,1525887769003,1525887769003,0,1,60,0,0,0,0,0,12,5,0,1
123,123,17,4,1547140901009,1547140901013,4,2,180,1547140901009,1547140901009,0,1,90,1547140901013,1547140901013,0,1,90,4,4,2,0
17516,23,6,4,1532525338001,1532525338001,0,1,60,1532525338001,1532525338001,0,1,60,0,0,0,0,0,30,8,0,0
11759,23,6,4,1532525579009,1532525579009,0,1,60,1532525579009,1532525579009,0,1,60,0,0,0,0,0,30,8,0,0
10366,443,6,4,1562238846602,1562240638992,1792390,2284,633288,1562238846602,1562240638992,1792390,1060,201624,1562238846612,1562240638974,1792362,1224,431664,3,2,0,0
123,123,17,4,1533060302474,1533060302479,5,2,180,1533060302474,1533060302474,0,1,90,1533060302479,1533060302479,0,1,90,0,1,0,0
3791,23,6,4,1532525591009,1532525591009,0,1,60,1532525591009,1532525591009,0,1,60,0,0,0,0,0,30,8,0,0
35992,22,6,4,1547066047228,1547066047228,0,1,60,1547066047228,1547066047228,0,1,60,0,0,0,0,0,6,3,1,2
42438,22,6,4,1526760846210,1526760853213,7003,4,296,1526760846210,1526760853213,7003,4,296,0,0,0,0,0,4,3,0,0
56585,22,6,4,1547066047328,1547066047328,0,1,60,1547066047328,1547066047328,0,1,60,0,0,0,0,0,6,3,1,2
54701,22,6,4,1526764799337,1526764806339,7002,4,296,1526764799337,1526764806339,7002,4,296,0,0,0,0,0,4,3,0,0
50596,6667,6,4,1545409776637,1545409783858,7221,4,296,1545409776637,1545409783858,7221,4,296,0,0,0,0,0,3,3,0,0
52168,23,6,4,1551377761580,1551377768745,7165,8,592,1551377761580,1551377768745,7165,8,592,0,0,0,0,0,4,1,1,1
55429,81,6,4,1532525387004,1532525387004,0,1,60,1532525387004,1532525387004,0,1,60,0,0,0,0,0,31,10,0,0
5526,37215,6,4,1532101483938,1532101483938,0,1,60,1532101483938,1532101483938,0,1,60,0,0,0,0,0,7,3,0,0
60002,22,6,4,1526759350002,1526759357009,7007,4,296,1526759350002,1526759357009,7007,4,296,0,0,0,0,0,4,3,0,0
39809,22,6,4,1547066049860,1547066049860,0,1,60,1547066049860,1547066049860,0,1,60,0,0,0,0,0,6,3,1,2
45336,81,6,4,1532525502003,1532525502003,0,1,60,1532525502003,1532525502003,0,1,60,0,0,0,0,0,31,10,0,0
22885,81,6,4,1532525516002,1532525516002,0,1,60,1532525516002,1532525516002,0,1,60,0,0,0,0,0,31,10,0,0
29930,59791,17,4,1532525342033,1532525342033,0,1,145,1532525342033,1532525342033,0,1,145,0,0,0,0,0,1,2,0,0
55577,22,6,4,1547066049046,1547066049046,0,1,60,1547066049046,1547066049046,0,1,60,0,0,0,0,0,6,3,1,2
54426,22,6,4,1547066050465,1547066050465,0,1,60,1547066050465,1547066050465,0,1,60,0,0,0,0,0,6,3,1,2
58308,23,6,4,1551377774785,1551377782026,7241,8,592,1551377774785,1551377782026,7241,8,592,0,0,0,0,0,4,1,1,1
52264,4975,6,4,1547130748368,1547130749445,1077,14,1252,1547130748368,1547130749445,1077,7,549,1547130748383,1547130749445,1062,7,703,3,0,2,0
11520,81,6,4,1532525456005,1532525456005,0,1,60,1532525456005,1532525456005,0,1,60,0,0,0,0,0,31,10,0,0
123,123,17,4,1538612563665,1538612563665,0,1,90,1538612563665,1538612563665,0,1,90,0,0,0,0,0,2,2,0,0
45844,81,6,4,1532525611003,1532525611003,0,1,60,1532525611003,1532525611003,0,1,60,0,0,0,0,0,31,10,0,0
57657,23,6,4,1532525505005,1532525505005,0,1,60,1532525505005,1532525505005,0,1,60,0,0,0,0,0,30,8,0,0
5526,37215,6,4,1532101365704,1532101365704,0,1,60,1532101365704,1532101365704,0,1,60,0,0,0,0,0,7,3,0,0
36097,37215,6,4,1545395907751,1545395907751,0,1,60,1545395907751,1545395907751,0,1,60,0,0,0,0,0,3,3,0,0
123,123,17,4,1538576954660,1538576954663,3,2,180,1538576954660,1538576954660,0,1,90,1538576954663,1538576954663,0,1,90,2,2,0,0
22568,52869,6,4,1547144787947,1547144787947,0,1,60,1547144787947,1547144787947,0,1,60,0,0,0,0,0,6,3,2,2
36553,23,6,4,1532525436009,1532525436009,0,1,60,1532525436009,1532525436009,0,1,60,0,0,0,0,0,30,8,0,0
43763,3243,17,4,1525885390011,1525885390011,0,1,60,1525885390011,1525885390011,0,1,60,0,0,0,0,0,12,5,0,1
35316,50,6,4,1533070536322,1533070568575,32253,6,444,1533070536322,1533070568575,32253,6,444,0,0,0,0,0,2,2,0,0
62697,81,6,4,1532525561003,1532525561003,0,1,60,1532525561003,1532525561003,0,1,60,0,0,0,0,0,31,10,0,0
24056,23,6,4,1532525481008,1532525481008,0,1,60,1532525481008,1532525481008,0,1,60,0,0,0,0,0,30,8,0,0
48422,23,6,4,1532525526004,1532525526004,0,1,60,1532525526004,1532525526004,0,1,60,0,0,0,0,0,30,8,0,0
